Category,Match_Score,Extracted_Skills
AGRICULTURE,5.830213405123304,"['excel', 'communication', 'leadership']"
CHEF,5.814710011591174,['communication']
BANKING,5.797884071615159,"['sql', 'data analysis']"
AUTOMOBILE,5.788153265952839,"['excel', 'communication']"
BUSINESS-DEVELOPMENT,5.782328244545164,['communication']
ARTS,5.701783891541469,['leadership']
DESIGNER,5.696060325982311,"['sql', 'excel', 'data analysis', 'react']"
ENGINEERING,5.6779369226721625,"['python', 'java', 'excel', 'data analysis']"
ARTS,5.662733440320825,"['excel', 'communication', 'leadership']"
TEACHER,5.603418211809089,"['excel', 'communication']"
HEALTHCARE,5.600664722461915,"['sql', 'tableau', 'excel', 'data analysis']"
INFORMATION-TECHNOLOGY,5.570474553834525,"['excel', 'data analysis']"
CONSULTANT,5.546655099332995,"['sql', 'aws', 'communication', 'leadership']"
CONSTRUCTION,5.544565982208552,"['excel', 'communication']"
BANKING,5.517544773093873,"['sql', 'excel', 'communication']"
ENGINEERING,5.493753581040442,"['excel', 'communication']"
INFORMATION-TECHNOLOGY,5.466531793635675,"['java', 'sql', 'excel']"
ADVOCATE,5.462453538305442,"['python', 'java', 'excel']"
CONSULTANT,5.461492137337311,"['sql', 'excel']"
APPAREL,5.410907669320145,"['sql', 'excel', 'data analysis']"
CHEF,5.364314447486537,['excel']
AVIATION,5.354491761043861,"['python', 'java', 'sql', 'excel', 'docker', 'communication', 'leadership']"
TEACHER,5.345360832240507,"['excel', 'communication', 'leadership']"
BPO,5.341054083899403,"['java', 'sql', 'excel', 'communication', 'leadership']"
ARTS,5.340716836845899,['data analysis']
HEALTHCARE,5.335364232577254,"['excel', 'communication', 'leadership']"
ENGINEERING,5.328847208949781,"['java', 'machine learning', 'tensorflow', 'leadership']"
HEALTHCARE,5.305634323298033,"['communication', 'leadership']"
ADVOCATE,5.266307184910498,"['excel', 'communication']"
ARTS,5.258992429111206,['leadership']
DIGITAL-MEDIA,5.256966586992184,"['machine learning', 'communication', 'leadership']"
TEACHER,5.256736934871401,[]
ARTS,5.236643538116482,"['excel', 'communication']"
ENGINEERING,5.2241167228538,"['excel', 'communication']"
TEACHER,5.221172033720072,[]
DESIGNER,5.211744250498646,['excel']
DESIGNER,5.204995424480745,"['java', 'sql', 'excel', 'leadership']"
TEACHER,5.200942926628864,['excel']
BUSINESS-DEVELOPMENT,5.193351229336118,"['sql', 'excel', 'communication', 'data analysis']"
FITNESS,5.186838785787469,['communication']
INFORMATION-TECHNOLOGY,5.181709512189946,['communication']
PUBLIC-RELATIONS,5.167018768603536,"['excel', 'communication', 'leadership']"
CONSULTANT,5.157404161985004,"['java', 'sql', 'excel']"
TEACHER,5.143253955613365,"['excel', 'communication', 'leadership']"
BUSINESS-DEVELOPMENT,5.128896413714279,"['excel', 'communication', 'leadership']"
HEALTHCARE,5.1226476154617995,"['java', 'sql', 'communication']"
ENGINEERING,5.111149508364749,"['excel', 'communication', 'leadership']"
BANKING,5.075259498163452,['leadership']
ARTS,5.074046489187494,"['excel', 'communication', 'leadership', 'data analysis']"
CONSTRUCTION,5.036456528013463,"['excel', 'communication']"
